contract_file;rule_id;rule_type;severity;pattern;status;comment
contracts1.txt;R001;required;Критично;срок;FOUND;Должен быть указан срок действия договора
contracts1.txt;R002;required;Критично;ответственность;FOUND;Должен быть раздел об ответственности сторон
contracts1.txt;R003;required;Критично;реквизиты;FOUND;Должны быть указаны реквизиты сторон
contracts1.txt;R004;required;Важно;предмет договора;FOUND;Должен быть описан предмет договора
contracts1.txt;R005;required;Важно;порядок оплаты;FOUND;Должны быть описаны условия оплаты
contracts1.txt;RISK001;risk;Критично;в одностороннем порядке;NOT_FOUND;Односторонние изменения условий — высокий риск
contracts1.txt;RISK002;risk;Критично;без уведомления;NOT_FOUND;Отсутствие уведомления при изменениях — высокий риск
contracts1.txt;RISK003;risk;Важно;не несёт ответственности;NOT_FOUND;Полное освобождение от ответственности — риск
contracts1.txt;RISK004;risk;Низкий;в любое время;NOT_FOUND;Размытая формулировка сроков — низкий риск
contracts2.txt;R001;required;Критично;срок;FOUND;Должен быть указан срок действия договора
contracts2.txt;R002;required;Критично;ответственность;FOUND;Должен быть раздел об ответственности сторон
contracts2.txt;R003;required;Критично;реквизиты;FOUND;Должны быть указаны реквизиты сторон
contracts2.txt;R004;required;Важно;предмет договора;FOUND;Должен быть описан предмет договора
contracts2.txt;R005;required;Важно;порядок оплаты;MISSING;Должны быть описаны условия оплаты
contracts2.txt;RISK001;risk;Критично;в одностороннем порядке;NOT_FOUND;Односторонние изменения условий — высокий риск
contracts2.txt;RISK002;risk;Критично;без уведомления;NOT_FOUND;Отсутствие уведомления при изменениях — высокий риск
contracts2.txt;RISK003;risk;Важно;не несёт ответственности;NOT_FOUND;Полное освобождение от ответственности — риск
contracts2.txt;RISK004;risk;Низкий;в любое время;NOT_FOUND;Размытая формулировка сроков — низкий риск
contracts3.txt;R001;required;Критично;срок;MISSING;Должен быть указан срок действия договора
contracts3.txt;R002;required;Критично;ответственность;MISSING;Должен быть раздел об ответственности сторон
contracts3.txt;R003;required;Критично;реквизиты;MISSING;Должны быть указаны реквизиты сторон
contracts3.txt;R004;required;Важно;предмет договора;FOUND;Должен быть описан предмет договора
contracts3.txt;R005;required;Важно;порядок оплаты;FOUND;Должны быть описаны условия оплаты
contracts3.txt;RISK001;risk;Критично;в одностороннем порядке;FOUND_RISK;Односторонние изменения условий — высокий риск
contracts3.txt;RISK002;risk;Критично;без уведомления;FOUND_RISK;Отсутствие уведомления при изменениях — высокий риск
contracts3.txt;RISK003;risk;Важно;не несёт ответственности;NOT_FOUND;Полное освобождение от ответственности — риск
contracts3.txt;RISK004;risk;Низкий;в любое время;NOT_FOUND;Размытая формулировка сроков — низкий риск
